name,count
Bedri,1
Begl,1
Begoa,6
Behnam,3
Behrouz,1
Behzad,2
Behzat,1
Beka,1
Bekele,1
Bekir,1
Bektas,1
Bektemir,1
Bekzat,2
Bekzod,2
Bela,4
Belal,2
Belarmino,2
Belayneh,1
Beleynesh,1
Belina,1
Belinda,11
Belisario,1
Belle,1
Belma,2
Belmiro,1
Beln,2
Ben,191
Benaissa,1
Benamar,2
Bence,3
Bende,1
Bendegz,1
Benedek,2
Benedetta,1
Benedetto,4
Benedict,10
Benedicta,1
Benedykt,1
Bengt,29
Bengt-ke,2
Beni,2
Beniamin,1
Beniamino,3
Benigno,3
Benik,1
Benit,2
Benita,1
Benito,3
Benjam,1
Benjamin,173
Benjaminas,1
Benjamn,3
Benjmin,1
Benkt,2
Benn,1
Bennie,1
Benno,2
Benny,14
Benoit,18
Benot,6
Benson,3
Bent,15
Beqir,1
Berber,1
Bereket,1
Berend,1
Berenice,4
Bergsveinn,1
Bergur,1
Berik,1
Berikkazy,1
Berit,3
Berk,1
Berkane,1
Berkeley,1
Berland,1
Bernadett,2
Bernadette,16
Bernadette-Cynthia,1
Bernard,125
Bernardo,19
Bernardus,1
Bernd,42
Berndt,1
Bernhard,47
Bernhardt,1
Bernice,2
Bernt,10
Berry,1
Bershawn,1
Bert,13
Berta,3
Bertalan,2
Bertel,1
Berthe,1
Berthold,1
Bertil,7
Bertille,1
Berto,1
Bertold,1
Berton,1
Bertram,6
Bertrand,16
Bertus,1
Beruk,1
Beryl,6
Besarion,1
Beslan,1
Besnik,1
Best,1
Beston,1
Besu,1
Beta,3
Beth,101
Bethan,1
Bethany,31
Betina,1
Betislav,1
Betlhem,1
Betsy,25
Bettina,15
Bevan,4
Beverly,15
Bevyn,1
Beybulat,1
Beybut,1
Beykhan,1
Bezik,1
Bhagawati,1
Bhakta,1
Bharat,2
Bhim,3
Bhodi,1
Bhutana,1
Bi,3
Bian,2
Bianca,18
Bianco,1
Bianka,2
Bibhashwori,1
Bibiana,1
Bibiano,1
Bibiro,1
Bidzina,1
Bienvenido,1
Bienvenu,1
Bigna,2
Bijan,3
Biko,1
Bilal,5
Bilanday,1
Bilel,3
Bilge,2
Bilisuma,1
Biljana,2
Bilkisu,1
Billy,80
Bimal,1
Bimala,1
Bineta,1
Binko,1
Binta,1
Bintou,1
Birck,1
Birender,1
Birendra,2
Birger,10
Birgir,2
Birgit,21
Birgitt,2
Birgitta,2
Birgitte,2
Birhan,1
Birhanu,1
Birk,1
Birte,2
Biser,2
Biserka,1
Bishindeegiin,1
Bishnu,2
Biurakn,1
Bixio,1
Bjarki,1
Bjarne,10
Bjarni,1
Bjiin,1
Bjrg,2
Bjrgvin,1
Bjrn,30
Bjrn-Peter,1
Bjrnar,1
Bla,23
Black,2
Blackson,1
Blaena,1
Blago,1
Blaine,5
Blair,19
Blaise,4
Blake,29
Blanca,7
Blandine,3
Blane,1
Blanka,2
Blayne,2
Blent,2
Blessed,1
Blessing,3
Blint,2
Blythe,5
Bndicte,1
Bnyamin,1
Bo,31
Boas,1
Boay,1
Boaz,10
Bob,152
Boban,1
Bobby,35
Bode,1
Bodi,1
Bodil,3
Bodo,6
Boe,1
Bogdan,19
Bogdana,1
Bogger,1
Bogna,1
Bogomil,1
Bogumia,1
Bogusaw,3
Bohdan,4
Bohumil,8
Bohumila,1
Bohumr,3
Bohunka,1
Bohuslav,4
Boidar,3
Boitumelo,1
Bojan,12
Bojana,3
Boko,2
Bolad,1
Bolat,1
Boldbaataryn,1
Boldizsr,1
Boldyn,2
Bolesaw,5
Boleslav,3
Bolota,1
Bolvar,1
Bombo,1
Bona,1
Bonar,1
Bonayan,1
Boncho,1
Bondoc,1
Bong,3
Bongani,2
Boniface,4
Bonifacio,4
Bonit,1
Bonny,1
Bonyx,1
Boo,4
Boonlert,1
Boonpak,1
Boonsong,1
Boonthung,1
Boontom,1
Boonyarit,1
Bora,2
Borbla,2
Boris,107
Borislav,13
Borislava,1
Borja,1
Borna,1
Boro,2
Borut,3
Borys,5
Bosco,4
Bosolo,1
Boston,1
Botjan,5
Botond,1
Bouabid,1
Boualem,2
Boualong,1
Boubacar,2
Boubagar,1
Boubker,2
Boubout,1
Boucader,1
Bouchaib,1
Boudewijn,2
Boujamaa,1
Boujemaa,1
Bounama,1
Bounhom,1
Bounkou,1
Bounmy,1
Bounphisith,1
Bounthanom,1
Bourama,1
Bourcard,1
Bourhan,1
Bouzid,1
Bowen,1
Boyan,3
Boyanka,1
Boycho,2
Boyd,10
Bozhidar,2
Bozhil,1
Bra,2
Brad,108
Braden,1
Bradley,68
Brady,23
Brahim,8
Brahima,1
Bralon,1
Bram,5
Branca,1
Brandan,1
Branden,2
Brandi,10
Brandon,71
Brangre,1
Branimir,3
Branislav,3
Branka,1
Branko,15
Brao,1
Bratislav,1
Brave,1
Brbara,5
Brbel,1
Brd,1
Breanna,1
Breda,4
Bredni,1
Bree,3
Breege,1
Brenda,61
Brendan,112
Brenden,4
Brendon,11
Brent,73
Brenton,7
Bret,17
Brett,69
Brge,6
Brian,650
Briana,7
Brianna,24
Brianne,7
Brice,1
Brida,1
Bridget,43
Bridgette,4
Brigetta,1
Bright,2
Brigitta,1
Brigitte,30
Briitka,1
Brit,4
Brita,1
Britany,1
Britt,12
Britta,4
Brittany,68
Brittney,6
Brje,5
Brock,9
Brodie,2
Bronisaw,4
Bronislav,1
Bronwen,1
Bronwyn,4
Brook,5
Brooke,56
Brooklee,1
Brookner,1
Brooks,6
Bror,11
Brou,1
Brre,2
Bruce,187
Bruna,3
Brunella,1
Brunello,1
Brunko,1
Bruno,115
Bruno-Nazaire,1
Bruto,1
Bryan,119
Bryant,6
Bryce,8
Bryden,1
Bryn,7
Bryon,6
Bryony,1
Brz,1
Bu,1
Buala,1
Budsabong,1
Buenaventura,1
Buila,1
Bujor,1
Bukola,1
Bulcs,1
Bumphen,2
Bunji,2
Bunkichi,1
Bunya,1
Bunzo,1
Buoban,1
Burak,1
Burdett,1
Burgel,1
Burhan,4
Burhanettin,1
Burkhard,3
Burt,14
Buse,1
Bush,1
Buss,1
Buthayna,1
Buttree,1
Buumba,1
Buyandelgeriin,1
Buyangiin,1
Buyanjavyn,1
Byambajavyn,2
Byeon,5
Byrle,1
Byron,16
Byun,1
Cael,1
Caesar,2
Cahit,2
Cai,13
Caileigh,1
Caitlin,81
Caitriona,1
Caj,1
Caldwell,1
Cale,3
Caleb,20
Calister,1
Calisto,1
Calixte,1
Calixto,4
Callan,1
Callum,3
Calum,1
